P05783,Q14457
P62993,P10721
P62993,P35568
P62993,P23458
P62993,P09619
P62993,O43561
P62993,Q9UQC2
P62993,P46527
P62993,P29353
P62993,P21802
P35568,Q99418
P35568,O43739
P04899,P81274
P08069,P29353
P08069,Q14620
P08069,P05019
P08069,Q92569
P29353,P28482
P29353,P12931
P15056,P10398
P15056,P01111
P15056,Q02750
P15056,P46940
P14598,P19878
P19878,Q15080
P30304,P42655
P30304,P14635
P30304,O14757
P42655,P30305
P42655,Q99759
P30305,O14757
Q6FHM2,P63211
P63104,P36405
Q14205,Q13424
Q14205,Q13884
Q13424,P46939
Q13424,Q75RY0
Q13884,P46939
P46939,O95477
P46939,Q08209
P46939,P62937
Q14209,Q14186
Q14209,Q14188
Q14209,Q96JM7
Q14186,P28749
Q14186,Q15329
Q14186,Q01094
Q14186,O00716
Q14186,Q16254
Q14186,P41229
Q14188,P28749
Q14188,Q16254
Q14188,Q01094
Q07820,Q16611
Q07820,Q7Z6Z7
Q07820,P55957
Q07820,P62988
Q07820,Q93008
P49716,Q8TEX9
P49716,Q12899
P49716,O95071
P49716,O14980
P49716,Q9BXW9
P49716,Q96R06
Q03519,Q03518
P11831,P35269
P11831,P28324
P35269,P10275
P35269,P13984
P35269,P19387
P15924,P13647
P15924,P05787
P15924,P02538
P15924,P49450
P13647,P02533
P08631,Q03405
P08631,Q9HCN6
Q03405,P23458
Q03405,P29597
Q03405,P07948
Q03405,P09769
Q03405,P00749
P63211,P16520
P63211,P62873
Q13889,P19447
Q13889,P18074
Q13889,Q13888
Q13889,Q6ZYL4
P19447,P18074
P19447,P32780
P19447,Q13888
P19447,P28715
P19447,P43351
P19447,Q6ZYL4
P19447,Q92759
P19447,P19387
P19447,Q01831
P05556,P56199
P05556,P17301
P05556,P46109
P05556,P06756
P05556,P08648
P10809,P08107
P10809,P15104
P10809,P07900
P10809,P25325
P08107,Q93034
P08107,Q9UL15
P08107,O75460
P08107,P69905
P08107,P68871
Q16667,P06493
Q16667,Q00526
Q16667,P24941
P06493,P24385
P06493,P24864
P06493,P61024
P06493,P14635
P06493,P20248
P06493,P24522
P06493,O95257
P06493,O75293
P06493,P50613
P06493,O95835
P06493,Q99741
P06493,Q9UQR0
P06493,P46527
P06493,O75618
P32927,P04141
P32927,P05113
P32927,P08700
P32927,P42336
P04141,P15509
P04141,Q99062
P17301,Q14192
P28749,Q13547
P28749,Q16254
P07948,Q9HCN6
P12931,P20248
P12931,P24385
P12931,P07900
P12931,P49407
P12931,Q9H5V8
P12931,P03372
P12931,O00560
P12931,P25101
P12931,P32121
P12931,P21980
P12931,P35222
P12931,P35408
P12931,P78536
P12931,Q96AQ6
P20248,P24941
P20248,P38936
P20248,P12004
P20248,P46527
P20248,O43303
P20248,P31749
P20248,P31751
P20248,Q9Y243
P24385,P61024
P24385,P24941
P24385,P38936
P24385,P10275
P24385,Q00534
P24385,P11802
P24385,P30260
P24385,P12830
P24385,P62988
P24385,Q5XUX0
P24385,O15379
P24385,Q16656
P61024,P24941
P61024,Q00526
P24941,P12004
P24941,P18858
P24941,P50613
P24941,P38936
P24941,P24864
P24941,P46527
P24941,P07305
P24941,Q9UQR0
P24941,O95835
P11802,Q96TE0
P11802,P30279
P11802,P07900
P11802,P38936
P11802,P30281
P11802,P42771
P11802,P46527
P11802,Q16543
P11802,P50613
P11802,Q92830
Q96TE0,Q00534
Q96TE0,P30279
Q00534,P42771
Q00534,P55273
Q00534,P30281
P05412,P49841
P05412,P28482
P05412,P45984
P05412,P53779
P05412,P18847
P05412,P18848
P05412,P45983
P05412,P10275
P05412,P38398
P05412,P01100
P05412,Q8N1L9
P05412,Q03112
P05412,Q13330
P05412,P56279
P05412,P62988
P05412,P28347
P05412,P15407
P11166,P27824
P27824,O95477
Q04771,P27037
P27037,P36896
P27037,P08476
P27037,P37023
P27037,P12643
P36896,P08476
P24588,P17252
P24588,P13861
P24588,Q08209
P23458,P40189
P23458,P17181
P23458,P14784
P23458,Q8IU57
P40189,P29597
P40189,P05231
P40189,P20809
P40189,P13725
P29597,P17181
P17181,P48551
P17181,P01563
P17181,P32881
P17181,P01574
P01111,Q13322
P01111,Q14449
P05113,Q01344
P08700,P26951
Q01094,P19838
Q01094,Q8N726
Q01094,Q92547
Q01094,P38398
Q01094,P35232
Q01094,Q13547
Q01094,P49336
Q01094,Q9UPP1
Q01094,Q96JM7
Q01094,Q86X55
Q01094,Q9Y6Q9
P19838,P34932
P19838,O00255
P19838,P41279
P19838,Q15653
P19838,P35606
P19838,Q04864
P19838,O00221
P19838,Q9Y6K9
P19838,Q00653
P19838,O00505
P19838,Q01201
P19838,Q15025
P19838,Q8NFZ5
P19838,O15111
P19838,P25963
P19838,Q04206
P19838,Q15672
P19838,Q9NWT6
P62873,P59768
P27487,P00813
P27487,P08575
P18074,P32780
P18074,Q13888
P18074,P28715
P18074,P43351
P18074,Q92759
P18074,Q6ZYL4
P32780,Q13888
P32780,P28715
P32780,P29083
P32780,Q01831
P32780,Q6ZYL4
P32780,Q92759
P32780,P19387
P32780,Q13351
Q13888,P28715
Q13888,Q13216
Q13888,Q6ZYL4
Q13888,Q92759
P28715,Q03468
P28715,P12004
P28715,P24522
Q13216,Q03468
P02766,P05067
P05067,P01023
P05067,P22303
P05067,P02649
P05067,P49768
P05067,O75509
P05067,P08138
P05067,A4D1B5
P12830,P28827
P12830,P35222
P12830,Q9UHB6
P12830,P35221
P12830,Q13625
P12830,Q9H8V3
P12830,Q9H0H5
P19138,P67870
P67870,P19784
P67870,P68400
P67870,Q8WXX7
P05231,P08887
P05231,P13725
P01579,P15260
P15260,P42224
P17480,Q13950
P17480,Q04724
P19174,P09619
P19174,O94916
P19174,P11362
P19174,Q03135
P19174,P21802
P08514,P05106
P08514,P21333
P05106,P06756
P05106,P21333
P35221,P35222
P35221,Q9UHB6
P35221,P18206
P35221,P25963
P35221,Q04206
P35221,Q5VT06
P35221,Q9H8V3
P35221,Q9H0H5
P35222,Q9Y3M2
P35222,Q9Y265
P35222,P49789
P35222,Q9UJU2
P35222,Q9NQB0
P35222,P25054
P35222,P10275
P35222,O15169
P35222,Q9Y297
P35222,P19022
P35222,Q01826
P35222,P35869
P35222,Q16531
P35222,P55197
P35222,Q8TEK3
P35222,O00482
P35222,O14746
P35222,P14618
P35222,Q9Y2T1
P35222,Q96EB6
P35222,P51532
P35222,P62988
P35222,P49757
P35222,P26232
P35222,Q13625
P35222,P40337
P35222,Q04206
P15104,P28223
P35869,P07900
P35869,Q16531
P07900,P04150
P07900,P09769
P07900,Q15185
P07900,Q99558
P07900,O15111
P07900,O14920
P07900,Q14164
P07900,Q9Y6K9
P07900,Q13233
P07900,Q99759
P07900,Q9UHD2
P07900,O43318
P07900,Q9UHH9
P07900,P10275
P07900,P43034
P07900,B2R4V0
P07900,P06401
P07900,Q9H6T3
P07900,P04626
P04150,Q12888
P04150,P48552
P04150,Q05086
P04150,Q16620
P04150,Q99801
P00488,P04792
P04792,P02511
P14784,P01589
P14784,P60568
P14784,P31785
P14784,P40933
P01589,P60568
P60568,P31785
P31785,P52333
P31785,P13232
P31785,P40933
Q04864,P34932
Q04864,Q8NFZ5
Q04864,P41279
Q04864,Q8IYF5
Q04864,Q04206
Q04864,P25963
Q04864,O00221
Q04864,Q00653
Q04864,Q15653
P34932,Q04206
P34932,P25963
Q04206,O00255
Q04206,P41279
Q04206,Q15653
Q04206,Q00653
Q04206,O00221
Q04206,Q8NFZ5
Q04206,O15111
Q04206,Q13576
Q04206,Q9ULX6
Q04206,P25963
Q04206,Q01201
Q04206,Q8WTS6
Q04206,Q9Y2K7
Q04206,Q96L73
Q04206,P52943
Q04206,Q8N2W9
Q04206,P22736
Q04206,P47712
P25963,Q00653
P25963,Q9UKB1
P25963,Q13616
P25963,Q15653
P25963,O95163
P25963,P33992
P25963,O15111
P25963,O14920
P25963,P33993
P25963,Q9Y6K9
P25963,P62988
P25963,P63208
P25963,P25789
P25963,P25098
P25963,P34947
P25963,Q9NWT6
P15407,P22415
P15407,P18848
P15407,P23025
P15407,P28347
P15407,P17535
P22415,Q15545
P19388,P19387
P19388,O94762
P19338,Q9Y6D6
P19338,P05455
P19338,P37198
P19338,P22087
P19338,Q86UQ8
P03956,P01033
Q13323,Q07817
Q13323,P62988
P63279,Q06609
P63279,P43351
P63279,P10275
P63279,Q93068
P63279,P41212
P63279,P63165
P63279,P46060
P63279,Q9Y265
P63279,Q02078
P63279,O00180
P63279,P22460
P63279,Q9Y4E5
Q06609,P27694
Q06609,P43351
Q06609,P51587
Q06609,Q96B01
Q06609,Q14191
Q06609,O94761
Q06609,O94762
Q06609,P61956
Q06609,P63165
Q06609,P54132
Q06609,Q86YC2
Q06609,Q14676
Q06609,O14980
Q06609,O75417
P48551,P01563
P48551,P01569
P48551,P01562
P48551,P32881
P48551,P01574
P43351,P27694
P43351,P15927
P43351,P35244
Q15185,P55210
Q15185,P08238
Q00526,P24863
P19784,P68400
P19784,Q8WXX7
P01100,P18848
P01100,Q03112
P01100,P56279
P09619,P42229
P09619,P20936
P09619,P01127
P09619,O75581
P09619,P62988
P09619,P35968
P09619,Q9NRA1
Q13625,P46937
Q13625,Q92843
Q13625,Q07817
Q13625,Q8TEW0
Q13625,Q9H3D4
Q13625,O15350
P24864,P38936
P24864,P46527
P06702,P05109
P61244,P50539
P61244,Q14901
P61244,P01106
P61244,Q9Y4A5
P61244,Q92830
P61244,O75529
P61244,O75486
P61244,P04198
P61244,P41229
P61244,Q9GZV8
P50539,Q14901
P19793,P10276
P19793,Q07869
P19793,P11473
P19793,Q15596
P19793,P60763
P19793,P37231
P19793,P55055
P10276,Q15596
P10276,Q05086
P10276,Q16236
P10276,Q15788
P10276,Q9Y618
P10276,O75376
P10276,P51946
P10276,O43707
P38936,P12004
P38936,O96020
P38936,P62988
P38936,O94921
P38936,Q9UQR0
P38936,Q92466
P13861,P11137
P13861,Q12802
P13861,Q03135
P41236,P36873
P41236,P62136
P36873,Q9Y6D5
P36873,Q9Y6D6
P36873,Q13362
P49841,P31749
P49841,O15169
P49841,Q08752
P49841,P01106
P49841,Q5VWQ8
P49841,Q86YF9
P28482,P53004
P28482,Q08752
P28482,O95863
P53779,P17535
P18847,P18848
P18848,P35638
Q02750,P53004
P14635,Q13635
P14635,O75618
P20936,Q03135
P20936,Q9NYB0
Q01081,P26368
P26368,Q07955
P26368,Q96I25
P26368,P23193
P26368,Q15637
P02649,P98155
P21926,P16070
P21926,P18827
P16070,P16581
P16070,P13612
P18827,P34741
P18827,O75056
P18827,Q13009
P02748,P07357
P27635,P49768
P49768,P21333
P49768,Q9UQB3
