Accession(1),Accession(2)
Q969H0,P46531
Q16665,P46531
P46531,Q92585
P46531,Q06330
P46531,P78504
Q92585,Q06330
P27037,P12643
P36894,P12643
P36894,Q13873
P12643,Q13873
P12643,Q6ZVN8
P12643,Q6NW40
P12643,Q96B86
P35869,Q16531
Q969U6,Q16531
Q92466,Q16531
Q92466,Q13619
Q16531,Q13620
Q16531,Q13619
Q16531,Q8N5D0
Q16531,Q8TEL6
Q16531,Q8WV16
Q16531,Q96JK2
Q16531,Q5TAQ9
Q16531,Q5T6F0
Q16531,Q58WW2
Q16531,Q9H9F9
Q16531,Q9ULG1
Q16531,Q96SW2
Q13619,P55072
Q13619,O94888
Q13619,Q96GG9
Q13619,Q6PH85
Q13619,Q96SW2
P63279,P46060
P46060,Q9BTM9
P61956,Q9HC62
Q9HC62,P55854
Q06609,P61956
P38398,P61956
P62988,P61956
Q9P0U3,P61956
P61956,Q02078
P61956,Q8IZU3
P61956,P22460
Q07955,P38919
P09651,P38919
Q92900,O15234
Q92900,P38919
Q9BZI7,P38919
Q9BZI7,O15234
P38919,P61326
P38919,Q9Y5S9
P38919,O15234
P38919,Q16629
P38919,Q9HCG8
P61326,O15234
Q9Y5S9,O15234
P01588,P19235
P21802,P05230
P05230,P22607
P05230,Q8NI16
P05230,P11362
P05230,P22455
P62988,Q9UKV5
P55072,Q9UKV5
Q9UKV5,P60604
Q9UKV5,Q15011
Q9UKV5,P04234
Q92793,P36956
Q92793,P10243
Q92793,P16220
Q92793,P23769
Q92793,Q9Y265
Q92793,Q12772
Q92793,Q13568
Q92793,Q06945
Q92793,Q13351
Q92793,Q13572
Q92793,P10242
Q92793,P62805
Q92793,P62988
Q92793,O00327
Q92793,Q9UL17
P10275,Q03164
O00255,Q03164
Q96EB6,Q03164
Q03164,Q9UBL3
Q03164,O15516
P04049,P10398
P15056,P10398
P04180,P02647
P08514,P05106
P08514,P21333
P05106,P06756
P05106,P21333
P49768,P21333
P21333,P14416
P21333,P35462
P21333,P41180
P21333,P10275
P21333,Q8N264
P21333,P26010
P21333,P49450
P21333,O15164
P21333,O15160
P21333,Q13153
P21333,O95477
O60784,Q9UM54
O14908,Q9UM54
Q9UM54,Q6ZVM7
P60880,O14810
P36873,Q13362
P67775,P30153
P67775,Q5FBB7
P67775,P31749
P67775,Q969G9
P67775,Q5VSL9
P67775,P57058
P67775,P23528
P67775,Q9C0C7
P67775,Q9ULQ0
P30153,Q969G9
P30153,P57058
P30153,Q14155
P30153,P37198
P30153,Q9C0C7
P30153,Q96GD4
P62136,Q13362
Q13362,P62140
O75396,Q13190
O75396,Q16623
P01730,Q14005
P20071,P36897
Q03167,P37173
P61812,P36897
P37173,P10600
P37173,P37023
P37173,P01137
P37173,P36897
P37173,P02750
P10600,P36897
P10600,P37023
P36897,P01137
P36897,P02750
P36897,P17813
Q99719,Q15019
Q99719,Q14141
Q99719,Q16181
Q14141,Q15019
Q14141,Q16181
Q15019,Q16181
Q12931,O15392
Q5FBB7,Q53HL2
O14965,Q9NQS7
O14965,O15392
O15392,Q96GD4
O15392,Q53HL2
O15392,P36969
O15392,O75127
O15392,Q96CB9
O15392,Q96DA6
O15392,Q99807
O15392,Q16740
O15392,Q15907
Q96GD4,Q9NQS7
Q96GD4,Q53HL2
Q53HL2,Q9NQS7
Q53HL2,Q562F6
P10275,O60341
Q13547,Q9UKL0
Q13547,O60341
P35606,O60341
Q9UKL0,O60341
Q9UKL0,P17542
Q9UKL0,Q13127
Q9UKL0,Q96BD5
O60341,P17542
O60341,P05771
O60341,Q16512
O60341,P40763
O60341,Q96BD5
O60341,Q96KQ7
O60341,O14646
O60341,Q9H0D6
O60341,Q8NE71
O60341,O95782
O60341,Q9UNZ5
O60341,Q9GZR7
O60341,Q08211
O60341,O75323
O60341,O00139
O60341,P11586
O60341,Q15147
O60341,Q06830
O60341,P23246
O60341,O95347
O60341,P84103
P62805,Q16695
Q8NBP7,P01130
P01130,P02749
Q92608,P15153
P15153,Q6P589
P15153,O14939
P08107,P69905
P08107,P68871
P69905,Q9NZD4
P69905,P29474
P69905,P00387
P60842,Q04637
Q92900,P06730
P06730,Q13541
P06730,Q04637
P06730,Q13542
P06730,P62753
P06730,O43432
P06730,P11940
P06730,Q09161
P06730,Q9BWF3
Q04637,P11940
Q04637,Q9BWF3
P06213,P01308
P01275,P14735
P01308,P14735
P14735,P10997
P26927,Q15831
Q15831,Q9Y376
Q15831,Q7RTN6
Q15831,O95835
Q15831,Q9P0L2
Q15831,P22736
Q9Y376,Q7RTN6
Q9Y376,Q9P289
P28482,O95863
P62988,O95863
P62988,Q86VN1
P14784,P31785
P60568,P31785
P31785,P52333
P31785,P13232
P31785,P40933
P05112,P24394
P24394,P35225
P35225,P78552
P35225,Q14627
P08631,Q03405
Q03405,P23458
Q03405,P29597
Q03405,P07948
Q03405,P09769
Q03405,P00749
P35609,P60709
Q03135,P60709
P29474,P60709
P50402,P60709
P60709,P07737
P60709,Q14686
P29459,P29460
P08107,Q93034
P04626,Q93034
Q13951,Q93034
Q93034,Q96GG9
Q93034,Q6PH85
P11177,P08559
Q14974,P52292
Q14974,P52298
P52292,Q15653
P52292,Q01201
P52292,P52298
Q92900,Q09161
P11940,Q09161
P52298,Q09161
Q09161,Q86U42
Q13185,Q5FBB7
P45973,Q5FBB7
P83916,Q5FBB7
O60216,Q5FBB7
Q5FBB7,Q14683
Q5FBB7,Q8N3U4
Q5FBB7,Q96FF9
Q5FBB7,Q29RF7
Q5FBB7,Q7Z5K2
Q5FBB7,Q9NTI5
Q15291,P37231
Q9UBL3,P37231
